chunk_id,sum_nats,n_bytes
span_00209,514.286621,801
span_00210,566.046997,800
span_00211,599.757019,800
span_00212,568.307617,800
span_00213,544.008240,800
span_00214,627.586975,800
span_00215,493.973145,800
span_00216,568.536499,800
span_00217,484.419861,800
span_00218,503.288757,800
span_00219,527.976624,800
span_00220,566.170715,800
span_00221,595.969116,800
span_00222,620.501221,800
span_00223,636.128967,800
span_00224,545.969238,800
span_00225,501.846619,800
span_00226,585.493042,800
span_00227,591.023438,800
span_00228,613.667480,800
span_00229,496.757050,800
span_00230,505.496887,800
span_00231,593.161377,800
span_00232,662.923645,800
span_00233,714.261047,800
span_00234,628.359619,800
span_00235,501.536926,800
span_00236,624.828613,800
span_00237,675.506409,800
span_00238,715.817383,800
span_00239,588.389160,800
span_00240,586.481628,800
span_00241,606.084290,800
span_00242,561.611877,800
span_00243,546.808716,801
span_00244,617.052856,800
span_00245,591.931152,800
span_00246,587.501099,800
span_00247,603.445496,800
span_00248,570.100098,800
span_00249,626.807312,800
span_00250,552.668884,800
span_00251,636.969360,800
span_00252,613.491028,800
span_00253,510.086334,800
span_00254,707.245972,800
span_00255,738.723022,800
span_00256,736.411377,800
span_00257,786.722290,800
span_00258,717.604370,800
span_00259,780.345825,800
span_00260,727.767517,800
span_00261,516.177185,800
span_00262,635.258179,800
span_00263,651.843628,800
span_00264,688.214111,800
span_00265,673.651245,800
span_00266,779.092102,800
span_00267,745.010498,800
span_00268,685.332642,800
span_00269,739.023315,800
span_00270,705.582153,800
span_00271,604.714111,800
span_00272,684.196899,800
span_00273,550.026123,800
span_00274,465.736084,800
span_00275,534.454712,800
span_00276,596.665100,800
span_00277,550.713867,800
span_00278,601.750732,800
span_00279,595.327271,800
span_00280,561.521973,800
span_00281,616.231934,800
span_00282,578.359802,800
span_00283,518.917847,800
span_00284,412.129303,800
span_00285,415.702484,800
span_00286,640.183228,800
span_00287,552.501099,800
span_00288,506.303589,800
span_00289,555.888916,801
span_00290,479.980011,800
span_00291,545.118591,800
span_00292,594.038208,800
span_00293,788.122986,800
span_00294,445.520844,800
span_00295,592.703003,802
span_00296,491.008789,800
span_00297,688.815796,800
span_00298,701.263062,800
span_00299,725.775024,800
span_00300,610.500977,800
span_00301,669.943359,800
span_00302,630.075684,800
span_00303,753.132202,800
span_00304,620.083679,800
span_00305,438.625275,800
span_00306,651.391113,800
span_00307,595.806213,800
span_00308,593.210205,800
span_00309,607.664551,800
span_00310,681.831299,800
span_00311,725.127441,801
span_00312,633.893555,800
span_00313,598.533447,800
span_00314,623.542786,800
span_00315,604.751587,800
span_00316,679.369751,800
span_00317,464.350098,800
span_00318,501.699036,800
span_00319,650.856750,800
span_00320,463.188629,800
span_00321,453.619720,800
span_00322,627.343872,800
span_00323,679.453796,800
span_00324,576.184814,800
span_00325,831.963013,800
span_00326,764.402954,800
span_00327,987.357544,800
span_00328,746.647827,800
span_00329,718.716309,800
span_00330,721.419922,800
span_00331,876.717773,800
span_00332,836.273071,800
span_00333,780.521729,802
span_00334,711.001648,802
span_00335,803.513672,800
span_00336,850.716064,800
span_00337,835.653076,800
span_00338,801.133057,800
span_00339,759.400818,800
span_00340,821.754700,800
span_00341,918.235657,800
span_00342,796.890015,800
span_00343,968.285645,800
span_00344,760.745728,800
span_00345,786.018982,800
span_00346,945.678162,800
span_00347,833.383911,800
span_00348,637.863892,800
span_00349,722.719849,800
span_00350,701.533325,800
span_00351,642.947266,800
span_00352,772.023438,800
span_00353,672.697021,800
span_00354,815.664185,800
span_00355,583.638367,800
span_00356,631.152710,800
span_00357,581.389954,800
span_00358,553.496033,800
span_00359,605.551697,800
span_00360,697.703491,801
span_00361,638.445801,800
span_00362,610.168274,800
span_00363,729.868591,800
span_00364,686.496460,800
span_00365,628.046265,800
span_00366,639.912537,800
span_00367,589.337097,800
span_00368,428.805450,800
span_00369,396.058594,800
span_00370,289.369354,800
span_00371,372.795807,800
span_00372,453.858582,800
span_00373,548.621643,800
span_00374,545.947754,800
span_00375,532.646484,800
span_00376,536.891235,800
span_00377,593.764526,800
span_00378,652.761230,800
span_00379,665.461792,800
span_00380,587.242432,800
span_00381,654.014404,800
span_00382,662.061279,800
span_00383,709.101196,800
span_00384,600.779541,800
span_00385,620.003418,800
span_00386,308.124451,800
span_00387,380.804810,800
span_00388,356.698395,800
span_00389,564.605957,800
span_00390,584.020874,800
span_00391,510.874878,800
span_00392,632.821899,800
span_00393,739.624756,800
