chunk_id,sum_nats,n_bytes
span_00483,535.862671,800
span_00484,469.142670,800
span_00485,491.900391,800
span_00486,520.101990,800
span_00487,480.782532,800
span_00488,505.719543,800
span_00489,453.900635,800
span_00490,468.429169,800
span_00491,514.111816,800
span_00492,530.691467,800
span_00493,556.783569,800
span_00494,491.805359,800
span_00495,483.929443,800
span_00496,491.239594,800
span_00497,512.836304,800
span_00498,541.425293,800
span_00499,506.078644,801
span_00500,430.688721,800
span_00501,440.885254,800
span_00502,491.687408,800
span_00503,503.028320,800
span_00504,493.881042,800
span_00505,527.614258,800
span_00506,484.683960,800
span_00507,537.725708,800
span_00508,484.266235,800
span_00509,528.617920,800
span_00510,466.769531,800
span_00511,685.532227,800
span_00512,627.002319,800
span_00513,553.641235,800
span_00514,597.788696,800
span_00515,640.947144,800
span_00516,677.918030,800
span_00517,609.026123,800
span_00518,570.899536,800
span_00519,669.208069,800
span_00520,652.084412,800
span_00521,755.981079,800
span_00522,742.663940,800
span_00523,711.395630,800
span_00524,693.116577,800
span_00525,550.192871,800
span_00526,598.981934,800
span_00527,669.279175,800
span_00528,502.980347,800
span_00529,652.619995,800
span_00530,607.945862,800
span_00531,559.584839,800
span_00532,526.855347,800
span_00533,574.047424,800
span_00534,487.569397,800
span_00535,573.174316,800
span_00536,557.086182,800
span_00537,520.464966,800
span_00538,555.014465,800
span_00539,591.560669,800
span_00540,587.831787,800
span_00541,659.153442,800
span_00542,492.994385,800
span_00543,402.256500,800
span_00544,586.707886,800
span_00545,534.572388,800
span_00546,625.599365,800
span_00547,626.965576,800
span_00548,620.399902,800
span_00549,623.969177,800
span_00550,675.550537,800
span_00551,579.119995,800
span_00552,589.148621,800
span_00553,652.284668,800
span_00554,718.625244,800
span_00555,626.788757,800
span_00556,696.444336,800
span_00557,608.502197,800
span_00558,760.370728,800
span_00559,708.256348,800
span_00560,712.570374,800
span_00561,637.960571,800
span_00562,601.615601,800
span_00563,651.762085,800
span_00564,680.666260,800
span_00565,544.429382,800
span_00566,614.705566,800
span_00567,605.278076,800
span_00568,605.389648,800
span_00569,629.552124,800
span_00570,627.254944,800
span_00571,673.850830,800
span_00572,704.048706,800
span_00573,583.937012,800
span_00574,675.104980,800
span_00575,440.193939,800
span_00576,518.015259,800
span_00577,575.238159,800
span_00578,619.921814,800
span_00579,561.660217,800
span_00580,438.305725,800
span_00581,454.105255,800
span_00582,530.828369,800
span_00583,482.612732,800
span_00584,438.126587,800
span_00585,445.302185,800
span_00586,500.228699,800
span_00587,555.579163,800
span_00588,497.404358,800
span_00589,407.557404,800
span_00590,450.358154,800
span_00591,442.441284,800
span_00592,480.943176,800
span_00593,514.832275,800
span_00594,447.252747,800
span_00595,478.492401,800
span_00596,459.337769,800
span_00597,440.756592,801
span_00598,478.145874,800
span_00599,453.918518,800
span_00600,445.428223,800
span_00601,465.771698,800
span_00602,483.065063,800
span_00603,526.182251,800
span_00604,598.168335,800
span_00605,709.820374,800
span_00606,687.193665,800
span_00607,619.053711,800
span_00608,755.060425,800
span_00609,463.455444,800
span_00610,514.908997,800
span_00611,569.908325,800
span_00612,464.158447,800
span_00613,488.298035,800
span_00614,703.654968,800
span_00615,520.096680,800
span_00616,552.425293,800
span_00617,566.895386,800
span_00618,529.429138,800
span_00619,712.029175,800
span_00620,555.029419,800
span_00621,604.646118,800
span_00622,578.117249,800
span_00623,517.370483,800
span_00624,530.719482,800
span_00625,573.058594,800
span_00626,579.240234,800
span_00627,516.518311,800
span_00628,560.846558,800
span_00629,634.264648,800
span_00630,522.167358,800
span_00631,518.194824,800
span_00632,565.039917,800
span_00633,560.445984,800
span_00634,496.494690,800
span_00635,355.738586,800
span_00636,437.382507,800
span_00637,415.345734,800
span_00638,442.785217,800
span_00639,492.447205,800
span_00640,510.234619,800
span_00641,419.193665,800
span_00642,524.690918,800
span_00643,354.960022,800
span_00644,431.226288,800
span_00645,436.225281,800
span_00646,423.138000,800
span_00647,408.550293,800
span_00648,499.763367,800
span_00649,401.030457,800
span_00650,433.326965,800
span_00651,463.634735,800
span_00652,463.341309,800
span_00653,482.796936,800
span_00654,484.222900,800
span_00655,552.816284,800
span_00656,452.042786,800
span_00657,522.088867,800
span_00658,637.331421,800
span_00659,663.210693,800
span_00660,505.983887,800
span_00661,616.798584,800
span_00662,565.324707,800
span_00663,528.439270,800
span_00664,563.941895,800
span_00665,530.114990,800
span_00666,593.330200,800
span_00667,556.612915,800
span_00668,545.125122,800
span_00669,501.310913,800
span_00670,524.883301,800
span_00671,548.301392,800
span_00672,515.615051,800
span_00673,563.470459,800
span_00674,320.579590,800
span_00675,519.552307,800
span_00676,567.395874,800
span_00677,472.259644,800
span_00678,602.855347,800
span_00679,672.904907,800
span_00680,578.084045,800
span_00681,510.537354,800
span_00682,665.146973,800
span_00683,678.282654,800
span_00684,832.503540,800
span_00685,660.964478,800
span_00686,637.300659,800
span_00687,667.763062,800
span_00688,605.598389,800
span_00689,686.024414,800
span_00690,742.085815,800
span_00691,750.023193,800
span_00692,623.782837,800
span_00693,726.426880,800
span_00694,527.036377,800
span_00695,461.388611,800
span_00696,499.764069,800
span_00697,538.688599,800
span_00698,536.214294,800
span_00699,444.126038,800
span_00700,530.775146,800
span_00701,599.855347,800
span_00702,441.176361,800
span_00703,586.284302,800
span_00704,580.789307,800
span_00705,605.554871,800
span_00706,504.308105,800
span_00707,642.530884,800
span_00708,510.906189,800
span_00709,563.292908,800
span_00710,562.934753,800
span_00711,557.154053,800
span_00712,490.134644,800
span_00713,507.115387,800
span_00714,599.350403,800
span_00715,517.586975,800
span_00716,495.381317,800
span_00717,568.487366,800
span_00718,480.912109,800
span_00719,545.393372,800
span_00720,535.528687,800
span_00721,577.364807,800
span_00722,556.157349,800
span_00723,653.419678,800
span_00724,597.238342,800
span_00725,543.314819,800
span_00726,603.609985,800
span_00727,640.761353,800
span_00728,614.849304,800
span_00729,483.775940,800
span_00730,630.742188,800
span_00731,446.048035,800
span_00732,585.197327,800
span_00733,614.184509,800
span_00734,483.911926,800
span_00735,571.027832,800
span_00736,607.540283,800
span_00737,527.139648,800
span_00738,578.132812,800
span_00739,673.141113,800
span_00740,602.616211,800
span_00741,613.256775,800
span_00742,559.696106,800
span_00743,596.515137,800
span_00744,712.115601,800
span_00745,636.605713,800
span_00746,645.349365,800
span_00747,519.014160,800
span_00748,516.880005,800
span_00749,529.849487,800
span_00750,582.253662,800
span_00751,526.903076,800
span_00752,552.615356,800
span_00753,779.017944,800
span_00754,569.998413,800
span_00755,502.768005,800
span_00756,504.929779,800
span_00757,429.453522,800
span_00758,473.955109,800
span_00759,584.918823,800
span_00760,563.771301,800
span_00761,561.121582,800
span_00762,542.812622,800
span_00763,596.523071,800
span_00764,603.945862,800
span_00765,637.603882,800
span_00766,575.195435,800
span_00767,596.068420,800
span_00768,489.535126,800
span_00769,581.579346,800
span_00770,593.910828,800
span_00771,504.022644,800
span_00772,532.281250,800
span_00773,652.796814,800
span_00774,681.508545,800
span_00775,670.543030,800
span_00776,750.708008,800
span_00777,741.875854,800
span_00778,727.458069,800
span_00779,697.243652,800
span_00780,620.811401,800
span_00781,536.053589,800
span_00782,570.057617,800
span_00783,614.803589,800
span_00784,502.836975,800
span_00785,734.038818,800
span_00786,468.608032,800
span_00787,498.814758,800
span_00788,482.332123,800
span_00789,546.129517,800
span_00790,508.921906,800
span_00791,568.728882,800
span_00792,339.621033,800
span_00793,439.608856,800
