chunk_id,sum_nats,n_bytes
span_00743,582.904236,800
span_00744,694.075745,800
span_00745,629.397705,800
span_00746,624.919800,800
span_00747,499.739563,800
span_00748,501.036652,800
span_00749,504.464203,800
span_00750,530.955811,800
span_00751,495.197784,800
span_00752,527.613403,800
span_00753,727.646362,800
span_00754,566.174927,800
span_00755,436.900543,800
span_00756,414.119690,800
span_00757,382.797607,800
span_00758,381.556091,800
span_00759,504.538513,800
span_00760,519.251953,800
span_00761,541.559082,800
span_00762,519.520630,800
span_00763,570.260620,800
span_00764,570.274170,800
span_00765,599.107666,800
span_00766,521.211670,800
span_00767,553.474426,800
span_00768,458.324097,800
span_00769,558.738403,800
span_00770,565.941895,800
span_00771,458.701263,800
span_00772,507.399902,800
span_00773,623.687195,800
span_00774,627.698608,800
span_00775,656.723877,800
span_00776,837.584473,800
span_00777,783.207703,800
span_00778,707.651733,800
span_00779,686.050293,800
span_00780,631.918640,800
span_00781,530.741394,800
span_00782,566.726562,800
span_00783,583.473511,800
span_00784,516.019836,800
span_00785,704.612305,800
span_00786,428.817688,800
span_00787,457.836914,800
span_00788,420.746216,800
span_00789,473.524170,800
span_00790,479.067139,800
span_00791,554.348328,800
span_00792,303.903931,800
span_00793,382.703918,800
span_00794,418.333923,800
span_00795,447.904846,800
span_00796,487.850250,800
span_00797,753.817139,800
span_00798,608.935669,800
span_00799,565.383789,800
span_00800,567.411377,800
span_00801,549.683472,800
span_00802,635.911072,800
span_00803,642.103027,800
span_00804,594.995117,800
span_00805,614.280823,800
span_00806,604.395020,800
span_00807,518.754211,800
span_00808,617.671936,800
span_00809,594.882324,800
span_00810,617.722168,800
span_00811,460.497314,800
span_00812,579.071228,800
span_00813,518.967041,800
span_00814,573.925903,800
span_00815,599.394897,800
span_00816,585.531433,800
span_00817,679.852234,800
span_00818,625.557617,800
span_00819,547.204468,800
span_00820,595.595703,800
span_00821,704.962524,800
span_00822,662.068481,800
span_00823,456.928223,800
span_00824,496.378235,800
span_00825,622.873474,800
span_00826,586.166748,800
span_00827,578.675415,800
span_00828,469.346313,800
span_00829,589.633301,800
span_00830,425.909790,800
span_00831,473.477966,800
span_00832,425.713257,800
span_00833,412.235748,800
span_00834,470.514374,800
span_00835,435.485657,800
span_00836,435.889038,800
span_00837,514.334839,800
span_00838,444.693237,800
span_00839,460.341064,800
span_00840,513.335693,800
span_00841,766.533569,800
span_00842,785.399170,800
span_00843,518.289429,800
span_00844,473.716797,800
span_00845,462.272400,800
span_00846,439.204773,800
span_00847,412.717163,800
span_00848,469.171417,800
span_00849,483.230164,800
span_00850,692.965576,800
span_00851,673.415588,800
span_00852,657.301025,800
span_00853,707.276306,800
span_00854,839.865784,800
span_00855,723.422729,800
span_00856,710.215515,800
