chunk_id,sum_nats,n_bytes
span_00428,619.101685,800
span_00429,615.424316,800
span_00430,563.428467,800
span_00431,755.123413,800
span_00432,685.499084,800
span_00433,888.203735,800
span_00434,708.426514,800
span_00435,731.040283,800
span_00436,693.380005,800
span_00437,637.420898,800
span_00438,588.989563,800
span_00439,589.026855,800
span_00440,619.214111,800
span_00441,517.130249,800
span_00442,580.727600,800
span_00443,594.241699,800
span_00444,535.186279,800
span_00445,569.304565,800
span_00446,553.386841,800
span_00447,534.778931,800
span_00448,570.570679,800
span_00449,567.834717,800
span_00450,560.633240,800
span_00451,648.584717,800
span_00452,619.306946,800
span_00453,580.520935,800
span_00454,554.547729,800
span_00455,495.288300,800
span_00456,555.935730,800
span_00457,551.319702,800
span_00458,534.930420,800
span_00459,538.067749,800
span_00460,531.369568,800
span_00461,691.077698,800
span_00462,511.668854,800
span_00463,603.596680,800
span_00464,609.004395,800
span_00465,465.856262,800
span_00466,458.394257,800
span_00467,486.180084,800
span_00468,468.085999,800
span_00469,362.644775,800
span_00470,468.467926,800
span_00471,498.826111,800
span_00472,533.116882,800
span_00473,458.531799,800
span_00474,464.996124,800
span_00475,506.629761,800
span_00476,492.695465,800
span_00477,559.925903,800
span_00478,659.632080,800
span_00479,484.460510,800
span_00480,550.764282,800
span_00481,469.382812,800
span_00482,484.087433,800
span_00483,521.148804,800
span_00484,434.530090,800
span_00485,447.676880,800
span_00486,462.517151,800
span_00487,458.519836,800
span_00488,459.389282,800
span_00489,498.704956,800
span_00490,397.681152,800
span_00491,506.511597,800
span_00492,470.876953,800
span_00493,466.706940,800
span_00494,419.830658,800
span_00495,424.429291,800
span_00496,433.792114,800
span_00497,461.447662,800
span_00498,501.774017,800
span_00499,451.901978,801
span_00500,420.668549,800
span_00501,410.899841,800
span_00502,476.234863,800
span_00503,482.017548,800
span_00504,458.325623,800
span_00505,437.649231,800
span_00506,431.210938,800
span_00507,475.363647,800
span_00508,467.798096,800
span_00509,509.128906,800
span_00510,426.403931,800
span_00511,659.527100,800
span_00512,630.040527,800
span_00513,532.862549,800
span_00514,586.271301,800
span_00515,642.594482,800
span_00516,692.320740,800
span_00517,568.387390,800
span_00518,562.324219,800
span_00519,627.962402,800
span_00520,612.349670,800
span_00521,722.011414,800
span_00522,693.683594,800
span_00523,731.945435,800
span_00524,648.918518,800
span_00525,590.033020,800
span_00526,568.637146,800
